symbol,date,open,high,low,close,volume,symbol_encoded,year,month,day
ADS,2014-01-14,2.5866510717328475,2.6014097688873354,2.59578671051818,255.82,-0.46984691220612673,11,2014,1,14
AEE,2014-01-14,-0.864861972672589,-0.8655398365382557,-0.8624513985446487,36.31,-0.3851804377770605,13,2014,1,14
AEP,2014-01-14,-0.6979640442378251,-0.7022609570632564,-0.6973040060180278,46.51,-0.31640684525962254,14,2014,1,14
AES,2014-01-14,-1.2159066106626473,-1.213910262833414,-1.2176314071292986,14.44,-0.13143117543926514,15,2014,1,14
AET,2014-01-14,-0.3121024221341033,-0.31058132169147684,-0.308028009348136,71.48,-0.31238645233773077,16,2014,1,14
AFL,2014-01-14,-0.4154353979209857,-0.4179059675419361,-0.4090232347191125,64.7,-0.3533008635977778,17,2014,1,14
AGN,2014-01-14,1.4709104707325984,1.5131473437320877,1.49986732097264,186.0,-0.354602716145367,18,2014,1,14
AIG,2014-01-14,-0.6187474198324253,-0.6210166743428791,-0.6173157875242145,51.76,-0.010353543194040023,19,2014,1,14
AAL,2014-01-15,-0.9822495108539779,-0.9769741153667887,-0.9829992995474461,28.84,0.48544487904348643,0,2014,1,15
AAPL,2014-01-15,-0.18091266483756377,-0.17735808493881164,-0.17328421946719408,79.6228,8.26110831342306,2,2014,1,15
AAP,2014-01-15,0.43518504881925557,0.4471717743425473,0.4391750660364965,117.47,-0.42449944936406114,1,2014,1,15
ABBV,2014-01-15,-0.6348782243988474,-0.641406776426398,-0.6376764249590033,50.11,-0.09043818798357219,3,2014,1,15
ABC,2014-01-15,-0.31401895336971786,-0.3241747230804894,-0.31513807321425275,70.55,-0.4001930346669459,4,2014,1,15
ABT,2014-01-15,-0.8113588090116838,-0.8160661779945241,-0.8125193591212378,39.53,-0.03606844956140677,5,2014,1,15
ACN,2014-01-15,-0.13274704066784507,-0.10968349418641948,-0.12801411964690748,84.22,-0.12994838382891308,6,2014,1,15
ADBE,2014-01-15,-0.4785212177599635,-0.465324809596631,-0.4707515164658534,61.68,-0.13570101660130263,7,2014,1,15
ADI,2014-01-15,-0.6492522086659563,-0.6467809118592635,-0.6431705652191845,50.02,-0.32275842107433345,8,2014,1,15
